epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.732,1.76387,2.4556,2.02947,0.04036,0.38649,0.02747,0.00819,2.62589,7.20657,3.20566,0.000664384,0.000664384,0.000664384
2,609.949,1.97623,2.58567,2.22278,0.00672,0.53346,0.00515,0.00186,2.38079,30.7646,3.16374,0.00131787,0.00131787,0.00131787
3,1125.51,1.8708,2.47508,2.14851,0.19048,0.26329,0.12039,0.03722,2.29698,3.62199,2.97369,0.00195816,0.00195816,0.00195816
4,1686.91,1.85644,2.48685,2.119,0.25903,0.34021,0.19055,0.06123,2.26727,2.76322,2.69715,0.0019406,0.0019406,0.0019406
5,2238.08,1.76731,2.31916,2.04222,0.06877,0.47092,0.06252,0.02204,2.08772,4.25723,3.04162,0.0019208,0.0019208,0.0019208
6,2817.39,1.7065,2.21871,1.96847,0.3924,0.37086,0.28626,0.10691,2.14421,2.4967,2.69474,0.001901,0.001901,0.001901
7,3188.48,1.64828,2.1313,1.9376,0.42977,0.4334,0.37442,0.1566,1.83508,2.36078,2.29233,0.0018812,0.0018812,0.0018812
8,3766.83,1.5812,2.05394,1.87506,0.49814,0.45091,0.4185,0.18011,1.80516,2.23005,2.30735,0.0018614,0.0018614,0.0018614
9,4096.52,1.58917,2.04496,1.87816,0.51479,0.45966,0.44462,0.18748,1.75453,2.30583,2.23784,0.0018416,0.0018416,0.0018416
10,4931.49,1.58389,2.03325,1.86815,0.51292,0.4409,0.4464,0.20309,1.78168,2.0909,2.27815,0.0018218,0.0018218,0.0018218
11,5450.17,1.55917,1.95906,1.84009,0.54105,0.49593,0.48703,0.23041,1.71431,1.93865,2.18939,0.001802,0.001802,0.001802
12,5836.15,1.50065,1.88496,1.79346,0.60035,0.50719,0.53815,0.25015,1.77046,1.93477,2.19797,0.0017822,0.0017822,0.0017822
13,6192.97,1.52777,1.9191,1.80425,0.56962,0.53033,0.53571,0.25568,1.6715,1.98961,2.14489,0.0017624,0.0017624,0.0017624
14,6538.12,1.52271,1.90189,1.79404,0.5571,0.50188,0.4913,0.23141,1.76982,1.93033,2.18798,0.0017426,0.0017426,0.0017426
15,6834.82,1.48914,1.88829,1.76969,0.59291,0.54221,0.56594,0.26192,1.71797,1.99568,2.13137,0.0017228,0.0017228,0.0017228
16,7258.73,1.48222,1.82696,1.76518,0.60183,0.53408,0.55929,0.27118,1.66994,1.90152,2.13106,0.001703,0.001703,0.001703
17,7541.35,1.47821,1.83882,1.77324,0.57274,0.52908,0.53917,0.26264,1.68156,1.83778,2.15079,0.0016832,0.0016832,0.0016832
18,7954.66,1.46674,1.80505,1.7787,0.61201,0.5541,0.57383,0.28495,1.66614,1.78413,2.10422,0.0016634,0.0016634,0.0016634
19,8262.03,1.4552,1.74353,1.74371,0.63322,0.569,0.59859,0.30398,1.58845,1.83003,2.02475,0.0016436,0.0016436,0.0016436
20,8692.74,1.43544,1.76766,1.72793,0.59977,0.53327,0.56862,0.28287,1.64418,1.88556,2.07337,0.0016238,0.0016238,0.0016238
21,9041.71,1.42576,1.69873,1.73946,0.67283,0.59537,0.62107,0.3224,1.58584,1.75254,2.01525,0.001604,0.001604,0.001604
22,9449.82,1.40126,1.69528,1.71835,0.67623,0.57036,0.62577,0.32864,1.63109,1.66584,2.05887,0.0015842,0.0015842,0.0015842
23,9716.53,1.39335,1.72443,1.71266,0.68166,0.57316,0.6174,0.30789,1.67016,1.96743,2.08686,0.0015644,0.0015644,0.0015644
24,10127.8,1.39914,1.70539,1.68421,0.64409,0.53758,0.57176,0.27805,1.65581,1.92391,2.08964,0.0015446,0.0015446,0.0015446
25,10399,1.35015,1.66781,1.66614,0.64079,0.58662,0.63351,0.32667,1.58153,1.66455,2.01681,0.0015248,0.0015248,0.0015248
26,10775.7,1.3647,1.6306,1.67981,0.59775,0.57223,0.57439,0.28569,1.65584,1.69047,2.06499,0.001505,0.001505,0.001505
27,11064.1,1.36534,1.61855,1.68954,0.6548,0.62044,0.64892,0.3543,1.5249,1.57198,1.94324,0.0014852,0.0014852,0.0014852
28,11473.1,1.35033,1.62894,1.66153,0.71912,0.62124,0.685,0.37776,1.50726,1.50765,1.91925,0.0014654,0.0014654,0.0014654
29,11790.3,1.34565,1.59898,1.65216,0.67916,0.58912,0.64897,0.34907,1.50953,1.60235,1.89888,0.0014456,0.0014456,0.0014456
30,12241,1.34717,1.56696,1.64857,0.69074,0.60538,0.64757,0.35564,1.47501,1.51528,1.86851,0.0014258,0.0014258,0.0014258
31,12606.5,1.32399,1.55227,1.64652,0.66053,0.62289,0.66779,0.36937,1.49458,1.50857,1.90007,0.001406,0.001406,0.001406
32,13013.7,1.33008,1.5692,1.65787,0.67261,0.57036,0.63697,0.35639,1.47059,1.63765,1.86652,0.0013862,0.0013862,0.0013862
33,13379,1.29607,1.5137,1.61061,0.66569,0.63852,0.66823,0.37921,1.44805,1.51429,1.85457,0.0013664,0.0013664,0.0013664
34,13704.3,1.30418,1.55483,1.6324,0.72857,0.63852,0.71265,0.40983,1.41538,1.51559,1.81938,0.0013466,0.0013466,0.0013466
35,14040.7,1.27819,1.50041,1.61589,0.67138,0.61226,0.6576,0.37381,1.46018,1.4792,1.85489,0.0013268,0.0013268,0.0013268
36,14391,1.28088,1.43977,1.60853,0.69756,0.63612,0.67487,0.38888,1.42113,1.43751,1.82393,0.001307,0.001307,0.001307
37,14678.3,1.29052,1.48098,1.62055,0.70964,0.64348,0.69025,0.40008,1.43987,1.44913,1.84085,0.0012872,0.0012872,0.0012872
38,15081.2,1.26999,1.46567,1.6017,0.71582,0.6379,0.70404,0.4087,1.38695,1.42543,1.80175,0.0012674,0.0012674,0.0012674
39,15377.4,1.27724,1.48413,1.60748,0.70334,0.64665,0.70046,0.414,1.36392,1.4109,1.7442,0.0012476,0.0012476,0.0012476
